#t(s)	 y(m)	 x(t)	 vy(m/s)	 vx(m/s)
0.00	 20.000000	 0.000000	 0.000000	 0.000000
0.10	 19.951000	 0.000000	 -0.980000	 0.000000
0.20	 19.804001	 0.000000	 -1.960000	 0.000000
0.30	 19.559000	 0.000000	 -2.940000	 0.000000
0.40	 19.216000	 0.000000	 -3.920000	 0.000000
0.50	 18.775000	 0.000000	 -4.900000	 0.000000
0.60	 18.236000	 0.000000	 -5.880000	 0.000000
0.70	 17.598999	 0.000000	 -6.860001	 0.000000
0.80	 16.864000	 0.000000	 -7.840001	 0.000000
0.90	 16.030998	 0.000000	 -8.820001	 0.000000
1.00	 15.099998	 0.000000	 -9.800001	 0.000000
1.10	 14.070998	 0.000000	 -10.780002	 0.000000
1.20	 12.943998	 0.000000	 -11.760001	 0.000000
1.30	 11.718998	 0.000000	 -12.740002	 0.000000
1.40	 10.395997	 0.000000	 -13.720002	 0.000000
1.50	 8.974997	 0.000000	 -14.700003	 0.000000
1.60	 7.455996	 0.000000	 -15.680002	 0.000000
1.70	 5.838995	 0.000000	 -16.660004	 0.000000
1.80	 4.123994	 0.000000	 -17.640003	 0.000000
1.90	 2.310994	 0.000000	 -18.620003	 0.000000
2.00	 0.399995	 0.000000	 -19.600002	 0.000000
